 Óbitos por causas externas - Bahia;;;;;
Óbitos por Ocorrência por Município-BA e Grande Grupo CID10;;;;;
Grande Grupo CID10: X60-X84 Lesões autoprovocadas voluntariamente;;;;;
Período:2022;;;;;
Município-BA;CÓDITO DO TI;NOME DO TERRITÓRIO DE IDENTIDADE;Suicídios Geral 0 2022;Suicidios PAF 0 2022;% Suicídios 2022
290115 América Dourada;1;Irecê;1;0;0,0%
290300 Barra do Mendes;1;Irecê;3;0;0,0%
290323 Barro Alto;1;Irecê;2;0;0,0%
290530 Cafarnaum;1;Irecê;1;0;0,0%
290620 Canarana;1;Irecê;4;0;0,0%
290760 Central;1;Irecê;2;0;0,0%
291130 Gentio do Ouro;1;Irecê;1;0;0,0%
291240 Ibipeba;1;Irecê;2;0;0,0%
291310 Ibititá;1;Irecê;0;0;#DIV/0!
291410 Ipupiara;1;Irecê;1;1;100,0%
291460 Irecê;1;Irecê;12;0;0,0%
291535 Itaguaçu da Bahia;1;Irecê;0;1;#DIV/0!
291835 João Dourado;1;Irecê;2;0;0,0%
291850 Jussara;1;Irecê;3;0;0,0%
291915 Lapão;1;Irecê;2;0;0,0%
292205 Mulungu do Morro;1;Irecê;0;0;#DIV/0!
292560 Presidente Dutra;1;Irecê;2;0;0,0%
292925 São Gabriel;1;Irecê;3;0;0,0%
293240 Uibaí;1;Irecê;0;0;#DIV/0!
293360 Xique-Xique;1;Irecê;1;0;0,0%
TOTAL TI;1;Irecê;42;2;4,8%
290270 Barra;2;Velho Chico;3;0;0,0%
290390 Bom Jesus da Lapa;2;Velho Chico;3;0;0,0%
290450 Brotas de Macaúbas;2;Velho Chico;2;0;0,0%
290710 Carinhanha;2;Velho Chico;1;0;0,0%
291077 Feira da Mata;2;Velho Chico;0;0;#DIV/0!
291320 Ibotirama;2;Velho Chico;2;0;0,0%
291340 Igaporã;2;Velho Chico;1;0;0,0%
292020 Malhada;2;Velho Chico;1;0;0,0%
292105 Matina;2;Velho Chico;1;0;0,0%
292160 Morpará;2;Velho Chico;1;0;0,0%
292225 Muquém de São Francisco;2;Velho Chico;0;0;#DIV/0!
292320 Oliveira dos Brejinhos;2;Velho Chico;5;1;20,0%
292370 Paratinga;2;Velho Chico;1;0;0,0%
292640 Riacho de Santana;2;Velho Chico;3;0;0,0%
293015 Serra do Ramalho;2;Velho Chico;7;2;28,6%
293075 Sítio do Mato;2;Velho Chico;0;0;#DIV/0!
TOTAL TI;2;Velho Chico;31;3;9,7%
290010 Abaíra;3;Chapada Diamantina;0;0;#DIV/0!
290130 Andaraí;3;Chapada Diamantina;0;0;#DIV/0!
290280 Barra da Estiva;3;Chapada Diamantina;1;0;0,0%
290400 Boninal;3;Chapada Diamantina;0;0;#DIV/0!
290405 Bonito;3;Chapada Diamantina;0;0;#DIV/0!
291220 Ibicoara;3;Chapada Diamantina;2;0;0,0%
291300 Ibitiara;3;Chapada Diamantina;4;0;0,0%
291430 Iramaia;3;Chapada Diamantina;1;0;0,0%
291440 Iraquara;3;Chapada Diamantina;4;1;25,0%
291500 Itaeté;3;Chapada Diamantina;1;0;0,0%
291860 Jussiape;3;Chapada Diamantina;0;0;#DIV/0!
291930 Lençóis;3;Chapada Diamantina;1;0;0,0%
292080 Marcionílio Souza;3;Chapada Diamantina;0;0;#DIV/0!
292170 Morro do Chapéu;3;Chapada Diamantina;6;0;0,0%
292190 Mucugê;3;Chapada Diamantina;1;0;0,0%
292285 Nova Redenção;3;Chapada Diamantina;0;0;#DIV/0!
292303 Novo Horizonte;3;Chapada Diamantina;2;0;0,0%
292350 Palmeiras;3;Chapada Diamantina;0;0;#DIV/0!
292430 Piatã;3;Chapada Diamantina;3;0;0,0%
292670 Rio de Contas;3;Chapada Diamantina;0;0;#DIV/0!
292990 Seabra;3;Chapada Diamantina;10;0;0,0%
293080 Souto Soares;3;Chapada Diamantina;0;0;#DIV/0!
293280 Utinga;3;Chapada Diamantina;0;0;#DIV/0!
293340 Wagner;3;Chapada Diamantina;1;0;0,0%
TOTAL TI;3;Chapada Diamantina;37;1;2,7%
290210 Araci;4;Sisal;1;0;0,0%
290327 Barrocas;4;Sisal;0;0;#DIV/0!
290360 Biritinga;4;Sisal;1;0;0,0%
290640 Candeal;4;Sisal;1;0;0,0%
290680 Cansanção;4;Sisal;1;0;0,0%
290840 Conceição do Coité;4;Sisal;2;0;0,0%
291330 Ichu;4;Sisal;2;0;0,0%
291700 Itiúba;4;Sisal;1;0;0,0%
291910 Lamarão;4;Sisal;0;0;#DIV/0!
292150 Monte Santo;4;Sisal;2;0;0,0%
292265 Nordestina;4;Sisal;0;0;#DIV/0!
292580 Queimadas;4;Sisal;3;0;0,0%
292590 Quijingue;4;Sisal;1;0;0,0%
292610 Retirolândia;4;Sisal;3;0;0,0%
292800 Santaluz;4;Sisal;5;0;0,0%
