 Óbitos por causas externas - Bahia;;
Óbitos por Ocorrência por Município-BA e Grande Grupo CID10;;
Grande Grupo CID10: X60-X84 Lesões autoprovocadas voluntariamente;;
Período:2022;;
Município-BA;X60-X84 Lesões autoprovocadas voluntariamente;Total
290010 Abaíra;0;-
290020 Abaré;0;-
290030 Acajutiba;0;-
290035 Adustina;0;-
290040 Água Fria;1;1
290060 Aiquara;2;2
290070 Alagoinhas;8;8
290080 Alcobaça;1;1
290090 Almadina;0;-
290100 Amargosa;2;2
290110 Amélia Rodrigues;0;-
290115 América Dourada;1;1
290120 Anagé;1;1
290130 Andaraí;0;-
290135 Andorinha;0;-
290140 Angical;3;3
290150 Anguera;0;-
290160 Antas;2;2
290170 Antônio Cardoso;2;2
290180 Antônio Gonçalves;0;-
290190 Aporá;0;-
290195 Apuarema;1;1
290205 Araças;0;-
290200 Aracatu;0;-
290210 Araci;1;1
290220 Aramari;2;2
290225 Arataca;0;-
290230 Aratuípe;0;-
290240 Aurelino Leal;3;3
290250 Baianópolis;0;-
290260 Baixa Grande;1;1
290265 Banzaê;1;1
290270 Barra;3;3
290280 Barra da Estiva;1;1
290290 Barra do Choça;3;3
290300 Barra do Mendes;3;3
290310 Barra do Rocha;0;-
290320 Barreiras;16;16
290323 Barro Alto;2;2
290330 Barro Preto;1;1
290327 Barrocas;0;-
290340 Belmonte;1;1
290350 Belo Campo;1;1
290360 Biritinga;1;1
290370 Boa Nova;2;2
290380 Boa Vista do Tupim;2;2
290390 Bom Jesus da Lapa;3;3
290395 Bom Jesus da Serra;1;1
290400 Boninal;0;-
290405 Bonito;0;-
290410 Boquira;1;1
290420 Botuporã;0;-
290430 Brejões;0;-
290440 Brejolândia;1;1
290450 Brotas de Macaúbas;2;2
290460 Brumado;7;7
290470 Buerarema;1;1
290475 Buritirama;0;-
290480 Caatiba;0;-
290485 Cabaceiras do Paraguaçu;1;1
290490 Cachoeira;0;-
290500 Caculé;5;5
290510 Caém;1;1
290515 Caetanos;0;-
290520 Caetité;2;2
290530 Cafarnaum;1;1
290540 Cairu;3;3
290550 Caldeirão Grande;0;-
290560 Camacan;0;-
290570 Camaçari;6;6
290580 Camamu;1;1
290590 Campo Alegre de Lourdes;0;-
290600 Campo Formoso;5;5
290610 Canápolis;0;-
290620 Canarana;4;4
290630 Canavieiras;2;2
290640 Candeal;1;1
290650 Candeias;1;1
290660 Candiba;1;1
290670 Cândido Sales;0;-
290680 Cansanção;1;1
290682 Canudos;1;1
290685 Capela do Alto Alegre;0;-
290687 Capim Grosso;3;3
290689 Caraíbas;0;-
290690 Caravelas;1;1
290700 Cardeal da Silva;0;-
290710 Carinhanha;1;1
290720 Casa Nova;3;3
290730 Castro Alves;1;1
290740 Catolândia;1;1
290750 Catu;3;3
290755 Caturama;1;1
290760 Central;2;2
